"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-01","   40","   70",,," 0706","0.00","   63","0.0","2.0",,"29","16","  348",,,,"  315","  315","0.3",,,,"28.9","17.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-02","   10","    0",,," 1548","0.00","  100","0.0","1.0",,"28","19","  558",,,,"  315","  270",,,,,"30.0","19.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-03","   50","   50",,," 0236","0.14","   61","2.2","1.0",,"30","17","  336",,,,"  270","  270",,,,,"24.2","15.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-04","   70","   70",,," 2242","0.02","   94","0.2","3.0",,"27","19","  522",,,,"  315","  315","0.4",,,,"26.4","17.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-05","   10","    0",,," 1342","0.00","  100","0.0","3.0",,"30","18","  552",,,,"  270","  315","0.3",,,,"32.2","19.0",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-06","   40","   10",,," 1424","0.00","   93","0.0","3.0",,"31","23","  516",,,,"  270","  315","0.3",,,,"27.5","17.9",,,,,,,,"    1",,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-07","   90","  100",,," 1124","0.07","    0","0.7","2.0",,"26","19","    0",,,,"   45","  360","0.3",,,,"24.2","17.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-08","   50","   20",,," 0330","0.01","   72","0.1","2.0",,"24","13","  396",,,,"  315","  315","0.3",,,,"23.0","16.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-09","   10","    0",,," 1724","0.00","  100","0.0","2.0",,"22","10","  558",,,,"  270","  270","0.2",,,,"39.1","25.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-10","   70","   90",,," 1336","0.00","   52","0.0","2.0",,"26","13","  288",,,,"  315","  270","0.2",,,,"40.3","29.1",,,,,,,,,,,,,,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","1970-01-11","    0","    0",,," 1418","0.00","  100","0.0","2.0",,"28","14","  558",,,,"  315","  315","0.2",,,,"39.1","27.1",,,,,,,,,,,,,,,,,,,,
